geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
2811,GP1BA,H2BC21,9606.ENSP00000329380,9606.ENSP00000358151,0.045,0.4,0.069,0.42
51807,TUBA8,H2BC21,9606.ENSP00000333326,9606.ENSP00000358151,0.0,0.0,0.467,0.467
5329,PLAUR,PTGS2,9606.ENSP00000339328,9606.ENSP00000356438,0.0,0.0,0.348,0.489
5329,PLAUR,MMP9,9606.ENSP00000339328,9606.ENSP00000361405,0.0,0.0,0.738,0.772
4929,NR4A2,PTGS2,9606.ENSP00000344479,9606.ENSP00000356438,0.061,0.0,0.32,0.524
27030,MLH3,H2BC21,9606.ENSP00000348020,9606.ENSP00000358151,0.0,0.5,0.072,0.52
11065,UBE2C,RRM2,9606.ENSP00000348838,9606.ENSP00000353770,0.068,0.0,0.749,0.931
8357,H3C12,H2BC21,9606.ENSP00000352252,9606.ENSP00000358151,0.836,0.4,0.999,0.999
8357,H3C12,MMP9,9606.ENSP00000352252,9606.ENSP00000361405,0.0,0.0,0.663,0.668
7422,COL18A1,MMP9,9606.ENSP00000352798,9606.ENSP00000361405,0.238,0.75,0.588,0.92
6241,RRM2,E2F2,9606.ENSP00000353770,9606.ENSP00000355249,0.0,0.0,0.354,0.435
50486,G0S2,PTGS2,9606.ENSP00000355996,9606.ENSP00000356438,0.0,0.0,0.181,0.436
5743,PTGS2,MMP9,9606.ENSP00000356438,9606.ENSP00000361405,0.0,0.0,0.785,0.815
7056,THBD,CD83,9606.ENSP00000366307,9606.ENSP00000368450,0.0,0.0,0.542,0.549
7056,THBD,PLAAT1,9606.ENSP00000366307,9606.ENSP00000498228,0.102,0.0,0.497,0.531
8334,H2AC6,H2BC11,9606.ENSP00000367022,9606.ENSP00000476136,0.92,0.4,0.542,0.988
8334,H2AC6,H2BC17,9606.ENSP00000367022,9606.ENSP00000477527,0.967,0.4,0.254,0.99
8334,H2AC6,H2BC9,9606.ENSP00000367022,9606.ENSP00000479169,0.967,0.4,0.21,0.992
7504,XK,LANCL3,9606.ENSP00000367879,9606.ENSP00000367882,0.0,0.0,0.213,0.458
9308,CD83,CXCL2,9606.ENSP00000368450,9606.ENSP00000427279,0.0,0.0,0.269,0.425
9308,CD83,TNFAIP3,9606.ENSP00000368450,9606.ENSP00000481570,0.0,0.0,0.311,0.595
10112,KIF20A,CDCA3,9606.ENSP00000378356,9606.ENSP00000442068,0.0,0.0,0.522,0.93
7068,THRB,MED12L,9606.ENSP00000379904,9606.ENSP00000417235,0.064,0.65,0.0,0.658
1850,DUSP8,LOC102723407,9606.ENSP00000380530,9606.ENSP00000478289,0.0,0.0,0.58,0.58
2812,GP1BB,CLDN5,9606.ENSP00000383382,9606.ENSP00000385477,0.0,0.0,0.497,0.532
2812,GP1BB,SEPTIN5,9606.ENSP00000383382,9606.ENSP00000391311,0.0,0.0,0.897,0.902
3554,IL1R1,CXCL2,9606.ENSP00000386380,9606.ENSP00000427279,0.0,0.0,0.629,0.647
3554,IL1R1,TNFAIP3,9606.ENSP00000386380,9606.ENSP00000481570,0.0,0.0,0.4,0.419
23677,SH3BP4,STON2,9606.ENSP00000386862,9606.ENSP00000450857,0.0,0.0,0.522,0.522
8320,EOMES,PCSK6,9606.ENSP00000388620,9606.ENSP00000482760,0.046,0.0,0.482,0.495
5087,PBX1,LOC102723407,9606.ENSP00000405890,9606.ENSP00000478289,0.0,0.0,0.506,0.506
2920,CXCL2,TNFAIP3,9606.ENSP00000427279,9606.ENSP00000481570,0.0,0.0,0.479,0.718
23764,MAFF,TNFAIP3,9606.ENSP00000442060,9606.ENSP00000481570,0.0,0.0,0.185,0.484
23764,MAFF,NR4A3,9606.ENSP00000442060,9606.ENSP00000482027,0.071,0.0,0.261,0.462
85439,STON2,LDLR,9606.ENSP00000450857,9606.ENSP00000454071,0.0,0.5,0.0,0.499
28450,IGHV3-11,LOC102723407,9606.ENSP00000474135,9606.ENSP00000478289,0.0,0.54,0.104,0.59
8970,H2BC11,H2BC17,9606.ENSP00000476136,9606.ENSP00000477527,0.319,0.4,0.044,0.78
8970,H2BC11,H2BC9,9606.ENSP00000476136,9606.ENSP00000479169,0.297,0.4,0.043,0.744
8348,H2BC17,H2BC9,9606.ENSP00000477527,9606.ENSP00000479169,0.812,0.4,0.044,0.971
